overview,imdbId
former marine louanne johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner city high school  after having a terrible first day  she decides she must throw decorum to the wind  when johnson returns to the classroom  she does so armed with a no nonsense attitude informed by her military training and a fearless determination to better the lives of her students    no matter what the cost ,0112792
in 1997  the island of manhattan has been walled off and turned into a giant maximum security prison within which the country s worst criminals are left to form their own anarchic society  however  when the president of the united states crash lands on the island  the authorities turn to a former soldier and current convict  snake plissken  to rescue him ,0082340
a filmmaker recalls his childhood  when he fell in love with the movies at his village s theater and formed a deep friendship with the theater s projectionist ,0095765
sam bowden is a small town corporate attorney  max cady is a tattooed  cigar smoking  bible quoting  psychotic rapist  what do they have in common  fourteen years ago  sam was a public defender assigned to max cady s rape trial  and he made a serious error  he hid a document from his illiterate client that could have gotten him acquitted  now  the cagey  bibliophile cady has been released  and he intends to teach sam bowden and his family a thing or two about loss ,0101540
a group of working class friends decides to enlist in the army during the vietnam war and finds it to be hellish chaos    not the noble venture they imagined  before they left  steven married his pregnant girlfriend    and michael and nick were in love with the same woman  but all three are different men upon their return ,0077416
ben hur is a 1959 epic film directed by william wyler  the third film version of civil war vet lew wallace s 1880 novel ben hur  a tale of the christ  it premiered at loew s state theatre in new york city on november 18  1959  the movie s reputation as a classic is primarily based on two spectacular action sequences   the great chariot race and a roman naval battle  along with lavish production values and strong performances   the plot of ben hur revolves around a jewish prince who is betrayed and sent into slavery by a roman friend and how he regains his freedom and comes back for revenge  however  instead he finds redemption in christ  the theme is ultimately about being saved in the christian sense   the film went on to win a record of eleven academy awards  including best picture and best actor  charlton heston as ben hur   this record setting oscars sweep has since been equaled by titanic in 1998 and the lord of the rings  the return of the king in 2004  but never broken ,0052618
in the early years of the 20th century  mohandas k  gandhi  a british trained lawyer  forsakes all worldly possessions to take up the cause of indian independence  faced with armed resistance from the british government  gandhi adopts a policy of  passive resistance   endeavouring to win freedom for his people without resorting to bloodshed ,0083987
a town - where everyone seems to be named johnson - is in the way of the railroad and  in order to grab their land  hedley lemar  a politically connected nasty person  sends in his henchmen to make the town unlivable  after the sheriff is killed  the town demands a new sheriff from the governor  so hedley convinces him to send the town the first black sheriff in the west ,0071230
two gangsters seek revenge on the state jail worker who during their stay at a youth prison sexually abused them  a sensational court hearing takes place to charge him for the crimes  a moving drama from director barry levinson ,0117665
a boy escapes from his gadget obsessed parents to join a band of time traveling dwarves  and meets napoleon  robin hood  king agamemnon and other famous figures ,0081633
in this animated hit  a neurotic worker ant in love with a rebellious princess rises to unlikely stardom when he switches places with a soldier  signing up to march in a parade  he ends up under the command of a bloodthirsty general  but he s actually been enlisted to fight against a termite army ,0120587
fearful of a prophecy stating that a girl child will be born to bring about her downfall  the evil queen bavmorda imprisons all pregnant women within the formidable stronghold of nockmaar  a child  elora danan  is born in the nockmaar dungeons and identified as the prophesied child by a birthmark on her arm  however  before the black sorceress arrives to claim the child  elora s mother convinces her reluctant midwife to escape with the baby  willow  a timid farmer and aspiring sorcerer  is entrusted with delivering the royal infant from evil ,0096446
misery is brought to a small group of sho in the kalahari desert in the form of a cola bottle  in his quest to throw the evil object over the edge of the earth  xixo encounters western  civilization   a haphazard doctor and a tyranical despot ,0080801
as kevin flynn searches for proof that he invented a hit video game  he is  digitalized  by a laser and finds himself inside the grid  where programs suffer under the tyrannical rule of the master control program  with the help of tron  a security program  flynn seeks to free the grid from the mcp ,0084827
tough narcotics detective  popeye  doyle is in hot pursuit of a suave french drug dealer who may be the key to a huge heroin smuggling operation ,0067116
mike judge s slacker duo  beavis and butt head  wake to discover their tv has been stolen  their search for a new one takes them on a clueless adventure across america where they manage to accidentally become america s most wanted ,0115641
when a destructive space entity is spotted approaching earth  admiral kirk resumes command of the starship enterprise in order to intercept  examine  and hopefully stop it ,0079945
when seth brundle makes a huge scientific and technological breakthrough in teleportation  he decides to test it on himself  unbeknownst to him  a common housefly manages to get inside the device and the two become one ,0091064
dumbo is a baby elephant born with oversized ears and a supreme lack of confidence  but thanks to his even more diminutive buddy    timothy the mouse    the pint sized pachyderm learns to surmount all obstacles ,0033563
when dracula leaves the captive jonathan harker and transylvania for london in search of mina harker    the spitting image of dracula s long dead wife  elisabeta    obsessed vampire hunter dr  van helsing sets out to end the madness ,0103874
when an english cartographer must tell a welsh village that their mountain is only a hill  the offended community sets out to change that   the film is based on a story heard by christopher monger from his grandfather about the real village of taff s well  in the old county of glamorgan  and its neighbouring garth hill  however  due to 20th century urbanisation of the area  it was filmed in the more rural llanrhaeadr ym mochnant and llansilin areas in powys ,0112966
mitch mcdeere is a young man with a promising future in law  about to sit his bar exam  he is approached by  the firm  and made an offer he doesn t refuse  seduced by the money and gifts showered on him  he is totally oblivious to the more sinister side of his company  then  two associates are murdered  the fbi contact him  asking him for information and suddenly his life is ruined  he has a choice   work with the fbi  or stay with the firm  either way he will lose his life as he knows it  mitch figures the only way out is to follow his own plan   ,0106918
siblings wednesday and pugsley addams will stop at nothing to get rid of pubert  the new baby boy adored by parents gomez and morticia  things go from bad to worse when the new  black widow  nanny  debbie jellinsky  launches her plan to add fester to her collection of dead husbands ,0106220
starts off in the 15th century  with connor mcleod  christopher lambert  training with another immortal swordsman  the japanese sorcerer nakano  mako   when an evil immortal named kane  mario van peebles  kills the old wizard  the resulting battle leaves him buried in an underground cave  when kane resurfaces in the 20th century to create havoc  it s up to mcleod to stop him ,0110027
publisher will randall becomes a werewolf and has to fight to keep his job ,0111742
los angeles swat cop jack traven is up against bomb expert howard payne  who s after major ransom money  first it s a rigged elevator in a very tall building  then it s a rigged bus  if it slows  it will blow  bad enough any day  but a nightmare in la traffic  and that s still not the end ,0111257
a small circle of friends suffering from post collegiate blues must confront the hard truth about life  love and the pursuit of gainful employment  as they struggle to map out survival guides for the future  the gen x quartet soon begins to realize that reality isn t all it s cracked up to be ,0110950
henry hackett is the editor of a new york city tabloid  he is a workaholic who loves his job  but the long hours and low pay are leading to discontent  also  publisher bernie white faces financial straits  and has hatchetman alicia clark  henry s nemesis  impose unpopular cutbacks ,0110771
frank drebin is persuaded out of retirement to go undercover in a state prison  there he is to find out what top terrorist  rocco  has planned for when he escapes  frank s wife  jane  is desperate for a baby   this adds to frank s problems  a host of celebrities at the academy awards ceremony are humiliated by frank as he blunders his way trying to foil rocco ,0110622
